215	45076	1	1	normal.
162	4528	2	2	normal.
236	1228	1	1	normal.
233	2032	2	2	normal.
239	486	3	3	normal.
238	1282	4	4	normal.
235	1337	5	5	normal.
234	1364	6	6	normal.
239	1295	7	7	normal.
181	5450	8	8	normal.
184	124	1	1	normal.
185	9020	2	2	normal.
239	1295	1	1	normal.
181	5450	2	2	normal.
236	1228	3	3	normal.
233	2032	4	4	normal.
238	1282	5	5	normal.
235	1337	6	6	normal.
234	1364	7	7	normal.
239	486	8	8	normal.
185	9020	1	1	normal.
184	124	2	2	normal.
181	5450	1	1	normal.
239	1295	2	2	normal.
236	1228	3	3	normal.
233	2032	4	4	normal.
239	486	5	5	normal.
238	1282	6	6	normal.
234	1364	7	7	normal.
235	1337	8	8	normal.
215	45076	1	4	normal.
162	4528	2	5	normal.
146	4528	1	1	normal.
199	45076	2	2	normal.
165	5450	1	1	normal.
223	1295	2	2	normal.
220	1228	3	3	normal.
217	2032	4	4	normal.
218	1364	5	5	normal.
219	1337	6	6	normal.
222	1282	7	7	normal.
223	486	8	8	normal.
169	9020	1	1	normal.
168	124	2	2	normal.
218	1364	1	1	normal.
219	1337	2	2	normal.
165	5450	3	3	normal.
223	1295	4	4	normal.
220	1228	5	5	normal.
217	2032	6	6	normal.
223	486	7	7	normal.
222	1282	8	8	normal.
168	124	1	1	normal.
169	9020	2	2	normal.
219	1337	1	1	normal.
218	1364	2	2	normal.
165	5450	3	3	normal.
223	1295	4	4	normal.
220	1228	5	5	normal.
217	2032	6	6	normal.
223	486	7	7	normal.
222	1282	8	8	normal.
199	45076	1	4	normal.
146	4528	2	5	normal.
364	11189	1	1	normal.
365	4095	2	2	normal.
332	3270	3	3	normal.
355	11201	1	1	normal.
278	957	2	2	normal.
212	1940	1	2	normal.
204	11099	2	3	normal.
202	14983	3	6	normal.
203	1818	4	8	normal.
204	1163	5	10	normal.
203	2235	6	12	normal.
203	1122	1	1	normal.
208	2260	2	2	normal.
